,word,definition
292,ba,to snatch off ba rhie to snatch somebody or something away oↄb xuo na rhie v ob ↄdↄ ɽe he snatched the woman away from her husband i e he ran away with her Iter banↄ ɽua fua wa to strip some body the iterative is used be cause more than one cloth is the object εbanↄ ῦ ua don t strip me used e g by a mother carrying her child on her back when it does not keep quiet and plays with her cloth ε to be stripped naked ↄv oxa na bin
293,ua,this child is naked cf ba ba r to be red or yellow v aɽo to shine of the moon v uki siεɽ ba to put something up right mostly into the ground ba ε ε y εhε na stick this yam pole into the yam heap orh iga ba he took feather put it upright he stuck the feather upright into his hair ba ema to stick yam poles into the heaps this is done when the yam ropes are about a yard long when the yam has reached the top of the eɣe ikpεsi poles are added and the yam ropes tied from the εɣε to the ikpesi v fi ema to stick a needle etc into some body wɣεba olod y ↄῦ egbe dont stick a needle into my body e among schoolboys ba igha to stick somebody with a thorn to proclaim a woman as a wile of the ba iɽ a ba ɽ igha they proclaimed her as a wife of the ba cf baba r iter a L to be hard i e difficult ldiom ↄba v axe n ↄlua ya l vi L it is hard like the pot which the ba dzdlua took to cook oil a pot BD ry which it was very difficult to heat and to cool agaln it is very hard indeed e g of a piece of work or a severe illness etc dba kua it is very hard indeed cf baba JJ ba to add used as second part of a wvwerbal combination v rhie de hence ba ɽe added to it may often be translated by besides as well etc ba in ba εw ba for the sake of ba ε ε n odf er ugbe e ba for the sake of yesterday i c for the thing which happened yester day you are flogging me
294,ba,to give up stop doing something to leave alone ba
295,oxid,stop walking bJ rie keep away ba ῦF leave me alone Jf ba baba to stick or peg poles into the ground plural or iterative form of the verb ba baba to grope for the way in the dark ↄbaba yo baba re v ebiebi he is groping here and there in the dark v
296,bibi,to be hard i c severe also used in the literal sense inwina ni vVizebaba ↄkelε fuga when that work was so hard ze for some time he ran away balb to hurt also in a meta phorical sense εt bals ῦ o the sore hurts me ῦε n ↄta ma bε bal dε gbe the word matter he told me hurt enraged me very much
297,ibalegbe,to scoop water with a cup or spoon etc bald
298,kua,to scoop out of bal ame kua v axe na scoop water out of this pot
299,basabasa,ashrub untumia africana latex is similar to rubber and is added to rubber to increase its quantity
300,baba,followed by dε word to tell a liec ababa εvε
301,gbe,to be naughty of boys it implies acts like touching what must not be touched riding a bicycle on the handle turning something over etc
302,idase,e to see ibε εɽe I saw it v de ɣe I bε to tap palm wine by making incisions with a knite ↄbε oↄgd be is tapping palm wine now ↄb ↄg he taps palm wine he is a palm wine tapper v so b to strive after the affection of young girls by giving them all they want from childhood upwards in order to marry them at the age of puberty This does not con stitute a betrothal bebgε bε describesaprotruding abdomen used with ye or ɽu aↄɽu εko bεbεbε he has an embonpoint
303,belε,x followed by kua to cut into slices same as
304,giagia,cut this plantain into slices to wane of the moon
305,bat,describes a short and very fat man used with the verb ye
306,betebεtε,sword sabre
307,bstzε,very big of a farm ugb εre ye bεtze his farm is very big b εwE to stammer cf ↄbεvE J v fu ε bi r to be dark dark blue when followed by didid i or suiswsuw c ebiebi biz tomove bil de to rush pour in of a crowd v
308,hihia,de yivi bil l
309,yo,bi re to move here and there ↄbi yo bi re he is moving here and there bi
310,egbe,to move body to walk with swaying body as cows and pigs do v dxwahe songs b to move aside so as to let somebody pass bi egbe n ugii Ue gbe ra step aside that you may let me pass to push j εbi ε don t push me v bi
311,sua,gbe to shut door window box or any thing that has a ld wv ε u to vomit c Yor bi vu ekpa cf ubidε bi x I
312,bi,to stab to prick with some pointed object ɣ εbii bvε don t stab me said e g when dancing with an agbada This sentence differs from the one given under bi to move only in the length of the vowel i in bii which there fore has been doubled here bi z to concern d en ↄbi ῦe what does it concern me i I have nothing to do with it b mabi ε iv bↄ v N it does not con cern me I have no hand in it bi oghi an expression used in the xwahε cult only after aka ba dances meaning uite so v isg
313,bia,to strip a palm branch or a banana or tobacco leaf by tearing the side branches or the leaves off separately at efach side v xub which describes the action of stripping a leaf by gliding along the mid rib at both sides simultaneously as can be done in the case of a small leaf
314,bibi,x to move to and fro to grope about oↄbibi yo bibi re he went here and there not knowing where to go v
315,baba,he missed the road to lead astray in ldiom bibi agh lit to mislead Somebody life ↄbibi oT aAgh v en iye na ho it is he who misled me to where I am now he brought me into the state in which I am now wv gie
316,ma,are you mad v kiza
317,bie,to cook thoroughly only of beans so that they are well done to be cooked thoroughly to be done same as ga iheῦε na bieɽe sVse the beans are done
318,bi,to bear a child Rabi whoboreyou who are your parents d eke n anabi which place is it that you were born where were you born cf ibiε Ig
319,bigabigↄbigd,describes something very crooked e g a tree with a stem that is bent several times or a cripple walking zig zag cf bi g v xuɽuxuɽ uxunu
320,bisibisi,reddish brown like the ordinary kind of house mud used with the verb ba b isusu to exorcise evil spirits by offering them isusu i e food that is taboo to them cf bi
321,bo,in b oxi to make circles as part of the ritual of bodily purification
322,boaboa,describes the walk of a big man who is in a hurry he strides along powerfully and does not look where he goes so that he may stumble a little funny looking used with the verb xia
323,bobo,to move to and fro of a fowl about to lay an egg dxomx ↄ na bobo this fowl Is running to and fro f
324,bo,de scribes an idle sort of walk or that of a man who is not feeling well used with the verb xia
325,boεε,describes the fall of an object like a palm branch or the branch of a plantain i e of a big leafy but not heavy branch used with the verb de
326,bolo,to peel skin to strip bark of a tree oↄbolo w eghe he tore my skin off when wrestling e g ↄbol egbe he has a bruise bol itue ni n ↄgi aya b owa strip that itue tree so that it may enable us to use it for house building wv kpal
327,rhua,to build b owa to build a house ↄb owa he built a house bↄ x to tell the future to predict bↄ me he told me the future n ↄbↄre who predicts comes chiefs support ing the Dba s and Ezↄm s arms they are said to tell the future for the dba to have one s future told by a doctor icayab v ↄ ↄbo I am going to zo and have my future told at the doctor s i e by casting the ogwega ba to be kind to somebody to treat kindly to favour ↄbↄ e gbe he treats him kindly impersonal ↄb ῦe it is favourable for me cf isibↄ a name
328,bↄbↄbs,gentle drumming such as on the oloi s drum The word occurs in the dxwahε song b b ↄg cf bε
329,bohii,big of stalks of maize same as bↄↄzi used with the verb ye bal z fleshy fat u ɣuye
330,balszↄ,you are becoming stout v itoto bↄ zi big and long of cobs of maize v bah
331,banε,x tospread grains y oto on the ground to winnow e g groundnuts by crushing the husks and blowing away the light skin from the palm of the hands bↄs isawa we ni winnow those groundnuts to shake oft e sand dust but also fruit from a tree bↄῦ exae ni y otↄ ukela o wa shake that sand off before you enter the house ue ɣ erha na n ↄm bave kua shake this tree so that its fruit is shaken off bↄῦ egbe to brush and slap onmeself with the hand if covered with dirt as after a walk in the bush or in order to remove insects v udia
332,bu,to be plentiful numerous ei na bii gbe these things are numerous many of these things are there ifa bu they are numerous bu
333,gbe,means also to suffice bu x to meet bu ε ɣ ade meet me coming come and meet me ibu re xia I am meeting him going am going to meet him to be equal in quantity e g two heaps of grains when being compared by people when trading bu y to pay a sum of money towards something iy isil is bu y osa n BH ɽe dε Itocokfhive shillings paid towards the debt I owe him p is not nasalised bu to decide bu εdε to fix a date to make an appoint ment for something ↄbu dε me hepromised meatime he gave me a date i when he would come ibu ε dε nε n ↄHɣaya re Lfixed adate for him when he should come lit which he should take to come ibu εdε nε n izaya s eva sε I notified him when I should arrive there bu εvo to found a settlement ɣa bu εvo na who founded this town bu ohiε to give a decision about a lawsuit ohiε n ↄbuɽu the case which he settled bu ude to glve warning advice ibu Luↄ u de fo nε Ihave warned you used when the man spoken to does not pay enough attention to the words c ibude buw ɽ to break of wood iron bones but not glass ibu obↄ I broke my arm abu ε ε he broke it iter buinↄ ε gW ε break them for me When followed by
334,ikuεkuε,to confess the name of a lover by an adulteress this was formerly obtained by subjecting the woman to the feather ordeal ↄbu εɽε she confessed him to be her lover v ka
335,bua,to do something enough used as second member of a verbal combination igua bu ɣ et ↄmah I have been talking long enough but Lit that he does not hear me ixia l oke lI ugboywodo bua nε I bave gone far and wide enough l e I do not want to travel any more cf bue LIL
